Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Saint Mary's (CA),Akron,1.64,1.32,1.0
Stanford,Northern Ariz.,1.55,1.06,1.0
Oregon,Portland,1.0,1.14,1.0
Oregon St.,Western Ore.,1.45,0.73,1.0
Dartmouth,UAlbany,1.01,1.21,1.0
Massachusetts,Louisiana Tech,1.0,1.15,1.0
Bellarmine,Southern Ind.,1.25,1.29,1.0
St. John's (NY),Wagner,1.19,0.79,1.0
Campbell,Newberry,1.17,0.64,1.0
Wake Forest,USC Upstate,1.2,1.13,1.0
VCU,Merrimack,1.06,0.57,1.0
UConn,Le Moyne,1.64,0.83,1.0
NC State,Coastal Carolina,1.47,1.15,1.0
Mercyhurst,Canisius,1.17,0.98,1.0
Howard,Tennessee St.,1.09,1.14,1.0
Yale,Emerson,1.6,0.62,1.0
ETSU,Tusculum,1.21,0.8,1.0
FGCU,St. Bonaventure,0.93,1.06,1.0
Longwood,Milwaukee,0.93,0.71,1.0
George Mason,Central Mich.,1.3,1.32,1.0
Dayton,Ball St.,1.13,1.01,1.0
Toledo,Wright St.,1.39,1.24,1.0
Presbyterian,Wofford,1.13,1.08,1.0
Charlotte,Richmond,1.24,0.92,1.0
Northeastern,Harvard,1.16,0.76,1.0
Bucknell,Mount St. Mary's,1.19,1.14,1.0
Tennessee,Montana,1.54,0.98,1.0
Jacksonville St.,Georgia St.,1.0,0.93,1.0
East Texas A&M,Southern U.,1.04,1.01,1.0
Middle Tenn.,Evansville,1.08,0.82,1.0
Nebraska,FDU,1.19,0.88,1.0
Arkansas,Troy,1.05,0.77,1.0
Texas Tech,Wyoming,1.26,0.74,1.0
Houston,Louisiana,1.46,0.65,1.0
Vanderbilt,California,1.25,0.97,1.0
Minnesota,North Texas,0.82,0.87,1.0
Auburn,Kent St.,1.21,0.93,1.0
Tulsa,Oral Roberts,1.07,1.23,1.0
Western Ill.,Green Bay,1.04,1.37,1.0
Hofstra,Seton Hall,0.86,0.84,1.0
Illinois,Oakland,1.27,0.94,1.0
Utah St.,Westminster (UT),1.88,0.92,1.0
Colorado,Cal St. Fullerton,1.25,0.84,1.0
Creighton,Houston Christian,1.22,0.48,1.0
BYU,Queens (NC),1.6,0.96,1.0
UC Santa Barbara,Fresno St.,1.27,1.0,1.0
Washington,Seattle Pacific,1.33,0.98,1.0
San Francisco,Long Beach St.,1.3,0.76,1.0
Nevada,Weber St.,1.53,0.89,1.0
Santa Clara,North Dakota St.,1.38,1.25,1.0
Southern California,UT Arlington,1.56,1.51,1.0
North Dakota,Utah Valley,1.12,1.03,1.0
New Orleans,Lindenwood,1.19,1.07,1.0
IU Indy,Eastern Mich.,1.01,1.06,1.0
UMBC,Coppin St.,1.32,0.98,1.0
Jacksonville,South Carolina St.,0.99,0.86,1.0
Buffalo,Bryant,0.87,1.3,1.0
Northern Ky.,Nicholls,0.76,0.78,1.0
Robert Morris,Stonehill,1.08,1.26,
The Citadel,North Greenville,1.22,0.89,1.0
Wichita St.,UNI,1.3,1.2,1.0
Missouri,Mississippi Val.,1.7,0.54,1.0
Oklahoma St.,Southern Ill.,1.39,1.11,1.0
Chattanooga,Morehead St.,1.13,0.87,1.0
Denver,Colo. Christian,1.47,1.06,1.0
Kansas St.,LSU,1.0,1.17,1.0
Arizona St.,Grand Canyon,1.21,1.06,1.0
South Dakota St.,Northern Colo.,0.97,1.23,1.0
New Mexico St.,A&M-Corpus Christi,1.06,1.05,1.0
Pacific,Northern Ariz.,0.84,0.88,1.0
Cal Poly,Seattle U,1.0,0.95,1.0
UNLV,Omaha,1.14,0.99,1.0
Charleston So.,UTRGV,1.0,1.13,1.0
VMI,Tennessee Tech,1.09,1.11,1.0
Stonehill,New Orleans,1.27,0.6,1.0
Sacred Heart,Holy Cross,1.1,1.21,1.0
